source,target,weight
hyperparam_l2_regularization,perf_accuracy,0.3499999940395355
hyperparam_l2_regularization,perf_best_val_accuracy,0.3499999940395355
perf_eval_loss,perf_rank1,0.4000000059604645
perf_final_training_loss,perf_map,0.30000001192092896
perf_final_training_loss,perf_rank1,0.4000000059604645
perf_final_training_loss,perf_top1_accuracy,0.30000001192092896
model_hrnet18,perf_map,0.4000000059604645
model_hrnet18,perf_rank5,0.30000001192092896
model_hrnet18,perf_top1_accuracy,0.45000001788139343
model_hrnet18,perf_top20_accuracy,0.45000001788139343
model_pcb,hyperparam_seed,0.3499999940395355
model_pcb,perf_rank1,0.30000001192092896
model_pcb,perf_top5_accuracy,0.30000001192092896
model_pcb,perf_top20_accuracy,0.3499999940395355
hyperparam_dropout,perf_map,0.30000001192092896
perf_map,perf_eval_samples_per_second,0.30000001192092896
perf_rank1,perf_eval_samples_per_second,0.30000001192092896
perf_rank1,perf_rank5,0.30000001192092896
perf_rank5,perf_rank1,0.30000001192092896
perf_rank5,perf_top1_accuracy,0.3499999940395355
hyperparam_alpha,perf_eval_samples_per_second,0.30000001192092896
hyperparam_alpha,perf_map,0.30000001192092896
hyperparam_alpha,perf_rank1,0.30000001192092896
hyperparam_alpha,perf_rank5,0.30000001192092896
hyperparam_alpha,perf_top1_accuracy,0.4000000059604645
hyperparam_alpha,perf_top10_accuracy,0.30000001192092896
hyperparam_alpha,perf_top20_accuracy,0.30000001192092896
hyperparam_kfold,perf_map,0.4000000059604645
hyperparam_kfold,perf_rank5,0.30000001192092896
hyperparam_kfold,perf_top1_accuracy,0.4000000059604645
hyperparam_kfold,perf_top5_accuracy,0.30000001192092896
hyperparam_kfold,perf_top20_accuracy,0.30000001192092896
hyperparam_kfold,hyperparam_l2_regularization_x_is_parallel,0.30000001192092896
hyperparam_max_iter,perf_map,0.3499999940395355
hyperparam_max_iter,perf_rank5,0.4000000059604645
perf_top5_accuracy,perf_rank1,0.30000001192092896
perf_top10_accuracy,perf_eval_samples_per_second,0.3499999940395355
perf_top10_accuracy,perf_top20_accuracy,0.3499999940395355
perf_top10_accuracy,perf_accuracy,0.4000000059604645
perf_top20_accuracy,perf_eval_samples_per_second,0.3499999940395355
perf_top20_accuracy,perf_top5_accuracy,0.3499999940395355
perf_top20_accuracy,perf_accuracy,0.30000001192092896
perf_recall,perf_rank1,0.3499999940395355
perf_recall,perf_accuracy,0.30000001192092896
perf_best_val_accuracy,perf_map,0.3499999940395355
perf_best_val_accuracy,perf_rank1,0.30000001192092896
perf_best_val_accuracy,perf_top10_accuracy,0.3499999940395355
perf_best_val_accuracy,perf_accuracy,0.30000001192092896
hyperparam_batch_size_x_is_parallel,perf_map,0.3499999940395355
hyperparam_batch_size_x_is_parallel,perf_top10_accuracy,0.30000001192092896
hyperparam_learning_rate_x_is_parallel,perf_eval_samples_per_second,0.30000001192092896
hyperparam_learning_rate_x_is_parallel,perf_map,0.4000000059604645
hyperparam_learning_rate_x_is_parallel,perf_rank5,0.30000001192092896
hyperparam_learning_rate_x_is_parallel,perf_top1_accuracy,0.3499999940395355
hyperparam_learning_rate_x_is_parallel,perf_top20_accuracy,0.550000011920929
hyperparam_learning_rate_x_is_parallel,perf_recall,0.3499999940395355
hyperparam_learning_rate_x_is_parallel,hyperparam_epochs_x_is_parallel,0.550000011920929
hyperparam_epochs_x_is_parallel,perf_map,0.30000001192092896
hyperparam_epochs_x_is_parallel,perf_rank1,0.30000001192092896
hyperparam_epochs_x_is_parallel,perf_top1_accuracy,0.30000001192092896
hyperparam_epochs_x_is_parallel,perf_top20_accuracy,0.4000000059604645
hyperparam_l2_regularization_x_is_parallel,hyperparam_l2_regularization,0.45000001788139343
hyperparam_l2_regularization_x_is_parallel,perf_map,0.30000001192092896
hyperparam_l2_regularization_x_is_parallel,perf_best_val_accuracy,0.3499999940395355
hyperparam_dropout_x_is_parallel,perf_top1_accuracy,0.30000001192092896
hyperparam_dropout_x_is_parallel,perf_top20_accuracy,0.30000001192092896
hyperparam_alpha_x_is_parallel,hyperparam_learning_rate,0.30000001192092896
hyperparam_alpha_x_is_parallel,perf_map,0.30000001192092896
hyperparam_alpha_x_is_parallel,perf_rank1,0.30000001192092896
hyperparam_kfold_x_is_parallel,perf_rank5,0.30000001192092896
hyperparam_kfold_x_is_parallel,perf_top1_accuracy,0.30000001192092896
hyperparam_max_iter_x_is_parallel,perf_eval_samples_per_second,0.3499999940395355
hyperparam_max_iter_x_is_parallel,perf_map,0.45000001788139343
hyperparam_max_iter_x_is_parallel,perf_rank1,0.3499999940395355
hyperparam_max_iter_x_is_parallel,perf_top1_accuracy,0.30000001192092896
hyperparam_max_iter_x_is_parallel,perf_top10_accuracy,0.3499999940395355
hyperparam_max_iter_x_is_parallel,perf_top20_accuracy,0.3499999940395355
