experiment_id,timestamp,repository,model,is_parallel,training_success,duration_seconds,retries,error_message,hyperparam_alpha,hyperparam_batch_size,hyperparam_dropout,hyperparam_epochs,hyperparam_kfold,hyperparam_learning_rate,hyperparam_max_iter,hyperparam_seed,hyperparam_weight_decay,perf_accuracy,perf_best_val_accuracy,perf_map,perf_precision,perf_rank1,perf_rank5,perf_recall,perf_test_accuracy,perf_test_loss,perf_eval_loss,perf_final_training_loss,perf_eval_samples_per_second,perf_top1_accuracy,perf_top5_accuracy,perf_top10_accuracy,perf_top20_accuracy,energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent,experiment_source,num_mutated_params,mutated_param,mode,bg_repository,bg_model,bg_note,bg_log_directory,fg_duration_seconds,fg_retries,fg_error_message,composite_id
mutation_1x__examples_siamese_021,2025-11-20T21:26:17.650648,examples,siamese,False,True,426.399909734726,0,Training completed successfully,,,,,,,,2873.0,,,,,,,,,100.0,0.0,,,,,,,,13379.18,1006.1,14385.28,180.59559322033903,183.65,75.42,74585.98000000003,74.23486682808716,75.0,50.35351089588378,52.0,mutation_1x,1.0,seed,,,,,,,,,mutation_1x__examples_siamese_021|2025-11-20T21:26:17.650648
mutation_1x__examples_siamese_022_parallel,2025-11-20T21:33:39.154416,examples,siamese,True,True,351.4954528808594,0,Training completed successfully,,,,8.0,,,,,,,,,,,,,100.0,0.0,,,,,,,,12972.81,897.49,13870.3,285.14511695906447,311.73,259.85,97519.63000000003,82.40350877192982,84.0,99.2953216374269,100.0,mutation_1x,1.0,epochs,parallel,Person_reID_baseline_pytorch,pcb,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251120_194804/examples_siamese_022_parallel/background_logs,351.4954528808594,0.0,Training completed successfully,mutation_1x__examples_siamese_022_parallel|2025-11-20T21:33:39.154416
mutation_1x__examples_siamese_023_parallel,2025-11-20T21:45:22.735178,examples,siamese,True,True,613.5681540966034,0,Training completed successfully,,,,,,0.0093161583651715,,,,,,,,,,,98.0,0.0,,,,,,,,22710.23,1580.82,24291.05,270.7112897822441,314.62,255.88,161614.63999999972,82.86599664991624,84.0,99.34840871021775,100.0,mutation_1x,1.0,learning_rate,parallel,Person_reID_baseline_pytorch,pcb,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251120_194804/examples_siamese_023_parallel/background_logs,613.5681540966034,0.0,Training completed successfully,mutation_1x__examples_siamese_023_parallel|2025-11-20T21:45:22.735178
mutation_1x__examples_siamese_024_parallel,2025-11-20T21:57:07.128804,examples,siamese,True,True,614.3805801868439,0,Training completed successfully,,,,,,,,9873.0,,,,,,,,,100.0,0.0,,,,,,,,22806.85,1593.27,24400.12,266.7866722408028,310.24,247.04,159538.43000000005,82.96321070234114,84.0,99.37458193979931,100.0,mutation_1x,1.0,seed,parallel,Person_reID_baseline_pytorch,pcb,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251120_194804/examples_siamese_024_parallel/background_logs,614.3805801868439,0.0,Training completed successfully,mutation_1x__examples_siamese_024_parallel|2025-11-20T21:57:07.128804
mutation_1x__pytorch_resnet_cifar10_resnet20_025,2025-11-20T22:13:53.350128,pytorch_resnet_cifar10,resnet20,False,True,946.21027302742,0,Training completed successfully,,,,168.0,,,,,,,92.01,,,,,,92.01,,,,,,,,,39936.9,2493.86,42430.76,228.8473799126635,250.62,76.18,209624.19999999975,78.77183406113537,82.0,54.36135371179039,68.0,mutation_1x,1.0,epochs,,,,,,,,,mutation_1x__pytorch_resnet_cifar10_resnet20_025|2025-11-20T22:13:53.350128
mutation_1x__pytorch_resnet_cifar10_resnet20_026,2025-11-20T22:33:28.814974,pytorch_resnet_cifar10,resnet20,False,True,1115.4541068077087,0,Training completed successfully,,,,,,0.0599468592531538,,,,,91.32,,,,,,91.32,,,,,,,,,47235.45,2974.62,50210.07,229.7305545286504,248.68,76.14,248568.45999999973,78.70887245841035,81.0,54.5637707948244,67.0,mutation_1x,1.0,learning_rate,,,,,,,,,mutation_1x__pytorch_resnet_cifar10_resnet20_026|2025-11-20T22:33:28.814974
mutation_1x__pytorch_resnet_cifar10_resnet20_027,2025-11-20T22:52:56.710105,pytorch_resnet_cifar10,resnet20,False,True,1107.884197473526,0,Training completed successfully,,,,,,,,,0.0005269575541948,,92.38,,,,,,92.38,,,,,,,,,46954.5,2924.52,49879.02,229.65872558139543,249.05,76.28,246883.1300000001,78.55441860465116,81.0,54.9953488372093,68.0,mutation_1x,1.0,weight_decay,,,,,,,,,mutation_1x__pytorch_resnet_cifar10_resnet20_027|2025-11-20T22:52:56.710105
mutation_1x__pytorch_resnet_cifar10_resnet20_028,2025-11-20T23:12:43.086269,pytorch_resnet_cifar10,resnet20,False,True,1126.365176677704,0,Training completed successfully,,,,,,,,8958.0,,,92.02,,,,,,92.02,,,,,,,,,47879.38,2999.9,50879.28,233.19644098810596,253.59,76.19,254883.7099999998,79.20311070448308,81.0,60.13815187557182,73.0,mutation_1x,1.0,seed,,,,,,,,,mutation_1x__pytorch_resnet_cifar10_resnet20_028|2025-11-20T23:12:43.086269
mutation_1x__pytorch_resnet_cifar10_resnet20_029_parallel,2025-11-20T23:28:36.848523,pytorch_resnet_cifar10,resnet20,True,True,863.7504713535309,0,Training completed successfully,,,,151.0,,,,,,,91.79,,,,,,91.79,,,,,,,,,38674.48,2413.71,41088.19,225.74501787842675,246.98,76.24,189400.07000000004,78.2061978545888,81.0,54.40047675804529,75.0,mutation_1x,1.0,epochs,parallel,examples,mnist_ff,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251120_194804/pytorch_resnet_cifar10_resnet20_029_parallel/background_logs,863.7504713535309,0.0,Training completed successfully,mutation_1x__pytorch_resnet_cifar10_resnet20_029_parallel|2025-11-20T23:28:36.848523
mutation_1x__pytorch_resnet_cifar10_resnet20_030_parallel,2025-11-20T23:49:06.435029,pytorch_resnet_cifar10,resnet20,True,True,1139.5708322525024,0,Training completed successfully,,,,,,0.1067680582725943,,,,,91.98,,,,,,91.98,,,,,,,,,51232.33,3168.58,54400.91,226.44874548736425,248.54,76.45,250905.2099999996,78.21570397111914,81.0,54.12003610108303,77.0,mutation_1x,1.0,learning_rate,parallel,examples,mnist_ff,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251120_194804/pytorch_resnet_cifar10_resnet20_030_parallel/background_logs,1139.5708322525024,0.0,Training completed successfully,mutation_1x__pytorch_resnet_cifar10_resnet20_030_parallel|2025-11-20T23:49:06.435029
