Group,Experiment_ID,Model,Training_Success,Has_Energy,Has_All_Params,Missing_Params
group1a_examples,examples_mnist_ff_038_parallel,examples/mnist_ff,True,True,False,"hyperparam_batch_size, hyperparam_epochs, hyperparam_learning_rate"
group1a_examples,examples_mnist_ff_039_parallel,examples/mnist_ff,True,True,False,"hyperparam_batch_size, hyperparam_epochs, hyperparam_learning_rate"
group1a_examples,examples_mnist_ff_040_parallel,examples/mnist_ff,True,True,False,"hyperparam_batch_size, hyperparam_epochs, hyperparam_learning_rate"
group1a_examples,examples_mnist_rnn_046_parallel,examples/mnist_rnn,True,True,False,"hyperparam_epochs, hyperparam_learning_rate, hyperparam_seed"
group1a_examples,examples_mnist_rnn_047_parallel,examples/mnist_rnn,True,True,False,"hyperparam_epochs, hyperparam_learning_rate, hyperparam_seed"
group1a_examples,examples_mnist_rnn_048_parallel,examples/mnist_rnn,True,True,False,"hyperparam_epochs, hyperparam_learning_rate, hyperparam_seed"
group1a_examples,examples_mnist_rnn_049_parallel,examples/mnist_rnn,True,True,False,"hyperparam_epochs, hyperparam_learning_rate, hyperparam_seed"
group1a_examples,examples_mnist_rnn_050_parallel,examples/mnist_rnn,True,True,False,"hyperparam_epochs, hyperparam_learning_rate, hyperparam_seed"
group1a_examples,examples_mnist_rnn_051_parallel,examples/mnist_rnn,True,True,False,"hyperparam_batch_size, hyperparam_learning_rate, hyperparam_seed"
group1a_examples,examples_mnist_rnn_052_parallel,examples/mnist_rnn,True,True,False,"hyperparam_batch_size, hyperparam_learning_rate, hyperparam_seed"
group1a_examples,examples_mnist_rnn_053_parallel,examples/mnist_rnn,True,True,False,"hyperparam_batch_size, hyperparam_learning_rate, hyperparam_seed"
group1a_examples,examples_siamese_054_parallel,examples/siamese,True,True,False,"hyperparam_epochs, hyperparam_learning_rate, hyperparam_seed"
group1a_examples,examples_siamese_055_parallel,examples/siamese,True,True,False,"hyperparam_epochs, hyperparam_learning_rate, hyperparam_seed"
group1a_examples,examples_siamese_056_parallel,examples/siamese,True,True,False,"hyperparam_epochs, hyperparam_learning_rate, hyperparam_seed"
group1a_examples,examples_siamese_057_parallel,examples/siamese,True,True,False,"hyperparam_epochs, hyperparam_learning_rate, hyperparam_seed"
group1a_examples,examples_siamese_058_parallel,examples/siamese,True,True,False,"hyperparam_epochs, hyperparam_learning_rate, hyperparam_seed"
group1a_examples,examples_mnist_033_parallel,examples/mnist,True,True,False,"hyperparam_batch_size, hyperparam_learning_rate, hyperparam_seed"
group1a_examples,examples_mnist_034_parallel,examples/mnist,True,True,False,"hyperparam_batch_size, hyperparam_learning_rate, hyperparam_seed"
group1a_examples,examples_mnist_035_parallel,examples/mnist,True,True,False,"hyperparam_batch_size, hyperparam_learning_rate, hyperparam_seed"
group1a_examples,examples_mnist_036_parallel,examples/mnist,True,True,False,"hyperparam_batch_size, hyperparam_learning_rate, hyperparam_seed"
group1a_examples,examples_mnist_037_parallel,examples/mnist,True,True,False,"hyperparam_batch_size, hyperparam_learning_rate, hyperparam_seed"
group1a_examples,examples_mnist_038_parallel,examples/mnist,True,True,False,"hyperparam_batch_size, hyperparam_epochs, hyperparam_seed"
group1a_examples,examples_mnist_039_parallel,examples/mnist,True,True,False,"hyperparam_batch_size, hyperparam_epochs, hyperparam_seed"
group1a_examples,examples_mnist_040_parallel,examples/mnist,True,True,False,"hyperparam_batch_size, hyperparam_epochs, hyperparam_seed"
group1a_examples,examples_mnist_041_parallel,examples/mnist,True,True,False,"hyperparam_batch_size, hyperparam_epochs, hyperparam_seed"
group1a_examples,examples_mnist_042_parallel,examples/mnist,True,True,False,"hyperparam_batch_size, hyperparam_epochs, hyperparam_seed"
group1a_examples,examples_mnist_043_parallel,examples/mnist,True,True,False,"hyperparam_epochs, hyperparam_learning_rate, hyperparam_seed"
group1a_examples,examples_mnist_044_parallel,examples/mnist,True,True,False,"hyperparam_epochs, hyperparam_learning_rate, hyperparam_seed"
group1a_examples,examples_mnist_045_parallel,examples/mnist,True,True,False,"hyperparam_epochs, hyperparam_learning_rate, hyperparam_seed"
group1a_examples,examples_mnist_046_parallel,examples/mnist,True,True,False,"hyperparam_epochs, hyperparam_learning_rate, hyperparam_seed"
group1a_examples,examples_mnist_047_parallel,examples/mnist,True,True,False,"hyperparam_epochs, hyperparam_learning_rate, hyperparam_seed"
group1a_examples,examples_mnist_048_parallel,examples/mnist,True,True,False,"hyperparam_batch_size, hyperparam_epochs, hyperparam_learning_rate"
group1a_examples,examples_mnist_049_parallel,examples/mnist,True,True,False,"hyperparam_batch_size, hyperparam_epochs, hyperparam_learning_rate"
group1a_examples,examples_mnist_050_parallel,examples/mnist,True,True,False,"hyperparam_batch_size, hyperparam_epochs, hyperparam_learning_rate"
group1a_examples,examples_mnist_051_parallel,examples/mnist,True,True,False,"hyperparam_batch_size, hyperparam_epochs, hyperparam_learning_rate"
group1a_examples,examples_mnist_052_parallel,examples/mnist,True,True,False,"hyperparam_batch_size, hyperparam_epochs, hyperparam_learning_rate"
group1a_examples,examples_mnist_ff_053_parallel,examples/mnist_ff,True,True,False,"hyperparam_batch_size, hyperparam_learning_rate, hyperparam_seed"
group1a_examples,examples_mnist_ff_054_parallel,examples/mnist_ff,True,True,False,"hyperparam_batch_size, hyperparam_learning_rate, hyperparam_seed"
group1a_examples,examples_mnist_ff_055_parallel,examples/mnist_ff,True,True,False,"hyperparam_batch_size, hyperparam_learning_rate, hyperparam_seed"
group1a_examples,examples_mnist_ff_056_parallel,examples/mnist_ff,True,True,False,"hyperparam_batch_size, hyperparam_learning_rate, hyperparam_seed"
group1a_examples,examples_mnist_ff_057_parallel,examples/mnist_ff,True,True,False,"hyperparam_batch_size, hyperparam_learning_rate, hyperparam_seed"
group1a_examples,examples_mnist_ff_058_parallel,examples/mnist_ff,True,True,False,"hyperparam_batch_size, hyperparam_epochs, hyperparam_seed"
group1a_examples,examples_mnist_ff_059_parallel,examples/mnist_ff,True,True,False,"hyperparam_batch_size, hyperparam_epochs, hyperparam_seed"
group1a_examples,examples_mnist_ff_060_parallel,examples/mnist_ff,True,True,False,"hyperparam_batch_size, hyperparam_epochs, hyperparam_seed"
group1a_examples,examples_mnist_ff_061_parallel,examples/mnist_ff,True,True,False,"hyperparam_batch_size, hyperparam_epochs, hyperparam_seed"
group1a_examples,examples_mnist_ff_062_parallel,examples/mnist_ff,True,True,False,"hyperparam_batch_size, hyperparam_epochs, hyperparam_seed"
group1a_examples,examples_mnist_ff_063_parallel,examples/mnist_ff,True,True,False,"hyperparam_epochs, hyperparam_learning_rate, hyperparam_seed"
group1a_examples,examples_mnist_ff_064_parallel,examples/mnist_ff,True,True,False,"hyperparam_epochs, hyperparam_learning_rate, hyperparam_seed"
group1a_examples,examples_mnist_ff_065_parallel,examples/mnist_ff,True,True,False,"hyperparam_epochs, hyperparam_learning_rate, hyperparam_seed"
group1a_examples,examples_mnist_ff_066_parallel,examples/mnist_ff,True,True,False,"hyperparam_epochs, hyperparam_learning_rate, hyperparam_seed"
group1a_examples,examples_mnist_ff_067_parallel,examples/mnist_ff,True,True,False,"hyperparam_epochs, hyperparam_learning_rate, hyperparam_seed"
group1a_examples,examples_mnist_ff_068_parallel,examples/mnist_ff,True,True,False,"hyperparam_batch_size, hyperparam_epochs, hyperparam_learning_rate"
group1a_examples,examples_mnist_ff_069_parallel,examples/mnist_ff,True,True,False,"hyperparam_batch_size, hyperparam_epochs, hyperparam_learning_rate"
group1a_examples,examples_mnist_ff_070_parallel,examples/mnist_ff,True,True,False,"hyperparam_batch_size, hyperparam_epochs, hyperparam_learning_rate"
group1a_examples,examples_mnist_ff_071_parallel,examples/mnist_ff,True,True,False,"hyperparam_batch_size, hyperparam_epochs, hyperparam_learning_rate"
