hyperparam_alpha,hyperparam_batch_size,hyperparam_dropout,hyperparam_epochs,hyperparam_kfold,hyperparam_learning_rate,hyperparam_max_iter,hyperparam_seed,hyperparam_weight_decay,perf_map,perf_rank1,perf_rank5,energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent,duration_seconds
0.1,64.0,0.5,60.0,5.0,0.05,100.0,8691.0,0.0005,0.738058,0.894002,0.95962,135494.72,10702.73,146197.45,235.99072919165263,257.6,12.78,983845.35,82.43343727512593,84.0,67.51451187335093,79.0,4284.674800634384
0.1,64.0,0.5,88.0,5.0,0.05,100.0,42.0,0.0005,0.77076,0.92785,0.969418,200095.53,15489.01,215584.54,218.6459419789324,319.16,13.99,1266178.649999997,77.91832153341392,84.0,97.18010706268348,100.0,5951.126707792282
0.1,64.0,0.5,60.0,5.0,0.0487736156257065,100.0,42.0,0.0005,0.7765,0.924287,0.972684,138942.73,10695.32,149638.05,213.47924396916247,318.42,12.1,858400.0400000025,78.02138771449889,84.0,96.6650087043024,100.0,4133.847870588303
0.1,64.0,0.4384615268137537,60.0,5.0,0.05,100.0,42.0,0.0005,0.77739,0.926366,0.973278,138421.84,10669.96,149091.8,214.1455757726819,319.32,11.16,859152.0499999998,77.94042871385842,84.0,96.62911266201397,100.0,4124.952593803406
0.1,64.0,0.5,60.0,5.0,0.05,100.0,5486.0,0.0005,0.775638,0.925772,0.972981,146204.96,11250.04,157455.0,222.55932549941272,317.9,14.13,946989.9300000012,79.77273795534666,85.0,96.96592244418332,100.0,4374.965131282806
0.1,64.0,0.5,60.0,5.0,0.0724324979826298,100.0,42.0,0.0005,0.626317,0.832245,0.936461,129541.75,10292.75,139834.5,244.4278017565872,257.99,13.19,974044.79,81.96486825595984,84.0,64.0762860727729,75.0,4095.738848924637
0.1,64.0,0.309570947708524,60.0,5.0,0.05,100.0,42.0,0.0005,0.770546,0.914192,0.967043,130362.49,10572.29,140934.78,243.74341573033672,256.78,13.53,976192.3799999986,82.02846441947565,84.0,63.874406991260926,75.0,4116.980088710785
0.1,64.0,0.5,60.0,5.0,0.05,100.0,5562.0,0.0005,0.763961,0.908551,0.964964,135404.48,10831.93,146236.41,243.4766434573832,260.03,13.06,1014080.220000001,82.01440576230492,84.0,67.13133253301321,79.0,4280.294857263565
0.1,64.0,0.5,60.0,5.0,0.0265808087787169,100.0,42.0,0.0005,0.77942,0.925178,0.976247,134915.39,10441.28,145356.67,231.79414833759623,319.07,9.98,906315.1200000014,78.15191815856778,84.0,96.51892583120204,100.0,4020.4280791282654
0.1,64.0,0.5,60.0,5.0,0.05,100.0,153.0,0.0005,0.772052,0.922803,0.972684,142148.51,10990.47,153138.98,242.54266554298076,316.57,14.34,1007279.689999999,80.31639778473392,84.0,96.87960510474356,100.0,4269.758121490479
0.1,64.0,0.5666375197443834,85.0,5.0,0.0743084324506971,100.0,5522.0,0.0005,0.725245,0.887173,0.961698,151057.77,12158.58,163216.35,232.19781215223705,291.06,11.0,1043264.770000001,78.6443356332072,84.0,83.73447585132428,99.0,4623.787818670273
0.1,64.0,0.4228693055590705,71.0,5.0,0.0339664515876819,100.0,5289.0,0.0005,0.740512,0.896378,0.958432,125808.76,10072.71,135881.47,228.7065021459225,289.86,14.32,852617.8399999993,78.32618025751073,84.0,84.14994635193133,99.0,3832.355693101883
