hyperparam_alpha,hyperparam_batch_size,hyperparam_dropout,hyperparam_epochs,hyperparam_kfold,hyperparam_learning_rate,hyperparam_max_iter,hyperparam_seed,hyperparam_weight_decay,perf_test_accuracy,perf_test_loss,energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent,duration_seconds
0.1,32.0,0.0,10.0,5.0,0.0123570760259487,100.0,1.0,0.0,99.0,0.0,13514.98,1050.83,14565.81,179.44502415458936,183.63,75.19,74290.23999999999,74.01690821256038,76.0,50.369565217391305,52.0,426.82977843284607
0.1,32.0,0.0,10.0,5.0,0.0077518837473554,100.0,1.0,0.0,98.0,0.0001,13513.94,1043.63,14557.57,183.36939759036136,187.05,76.1,76098.29999999996,75.65301204819278,77.0,50.12771084337349,52.0,427.772319316864
0.1,80.0,0.0,10.0,5.0,0.01,100.0,1.0,0.0,99.0,0.0,5773.72,448.29,6222.01,194.533735632184,202.35,76.33,33848.87000000001,76.13218390804597,78.0,53.92528735632184,62.0,181.0651037693024
0.1,73.0,0.0,10.0,5.0,0.01,100.0,1.0,0.0,100.0,0.0,6249.07,490.78,6739.85,194.86158730158724,201.82,76.17,36828.83999999999,76.31746031746032,79.0,55.629629629629626,59.0,196.32851839065552
0.1,32.0,0.0,10.0,5.0,0.01,100.0,6487.0,0.0,100.0,0.0,13518.47,1063.72,14582.19,185.11853012048184,189.42,76.28,76824.18999999997,76.53253012048192,78.0,50.2144578313253,52.0,427.906893491745
0.1,32.0,0.0,10.0,5.0,0.01,100.0,9527.0,0.0,100.0,0.0,13571.65,1079.37,14651.02,184.60163461538468,188.46,76.33,76794.28000000003,76.8485576923077,78.0,50.125,52.0,429.6096022129059
0.1,76.0,0.0,10.0,5.0,0.01,100.0,1.0,0.0,99.0,0.0258,5825.47,445.64,6271.11,88.723606557377,92.3,69.16,16236.419999999993,54.13661202185792,58.0,9.027322404371583,11.0,195.1320734024048
0.1,23.0,0.0,10.0,5.0,0.01,100.0,1.0,0.0,99.0,0.0295,6689.11,483.67,7172.78,93.22954545454546,96.61,71.92,18459.45,58.994949494949495,62.0,13.04040404040404,15.0,205.72274374961853
0.1,120.0,0.0,10.0,5.0,0.01,100.0,1.0,0.0,91.0,0.3118,7521.64,558.46,8080.1,9.426937799043063,82.1,3.68,1970.2300000000005,46.54545454545455,57.0,0.0,0.0,217.5713438987732
0.1,38.0,0.0,10.0,5.0,0.01,100.0,1.0,0.0,95.0,0.1632,11703.67,716.82,12420.49,7.819612676056335,78.76,3.78,2220.769999999999,39.566901408450704,47.0,0.0105633802816901,3.0,294.8808252811432
0.1,72.0,0.0,10.0,5.0,0.01,100.0,1.0,0.0,99.0,0.0,6333.6,481.51,6815.11,181.52125654450276,193.02,67.85,34670.56000000002,64.90052356020942,72.0,53.75916230366492,61.0,198.397212266922
0.1,89.0,0.0,10.0,5.0,0.01,100.0,1.0,0.0,100.0,0.0,5185.38,391.43,5576.81,192.44653846153844,202.92,74.61,30021.66,71.58333333333333,75.0,56.12179487179487,60.0,162.36270260810852
0.1,62.0,0.0,13.0,5.0,0.0121966422280414,100.0,7527.0,0.0,96.0,0.132,5331.68,409.83,5741.51,90.17506024096384,93.16,69.42,14969.059999999998,52.59638554216868,57.0,9.301204819277109,11.0,172.65144658088684
0.1,76.0,0.0,5.0,5.0,0.0085606210723768,100.0,5072.0,0.0,42.0,1.7111,3159.02,215.67,3374.69,17.41325301204819,81.71,3.95,1445.3,45.57831325301205,51.0,0.0,0.0,88.77064847946167
0.1,58.0,0.0,6.0,5.0,0.015450238252847,100.0,9643.0,0.0,98.0,0.0,3418.9,256.84,3675.74,168.29519230769236,178.66,68.89,17502.700000000004,61.02884615384615,68.0,50.73076923076923,55.0,109.10512137413023
