experiment_id,timestamp,repository,model,mode,is_parallel,training_duration,hyperparam_learning_rate,hyperparam_batch_size,seed,energy_cpu_total_joules,energy_gpu_total_joules,gpu_power_avg_watts,gpu_power_max_watts,gpu_power_min_watts,gpu_util_avg,gpu_temp_max,gpu_temp_avg,perf_test_accuracy,cpu_pkg_ratio,gpu_power_fluctuation,gpu_temp_fluctuation,hyperparam_dropout,perf_map,perf_rank1,perf_rank5,hyperparam_kfold,l2_regularization,perf_top1_accuracy,perf_top5_accuracy,perf_accuracy,perf_precision,perf_recall,perf_eval_loss
examples_mnist_rnn_070,2025-11-28T16:07:26.030751,examples,mnist_rnn,default,0,10,0.0112901530923658,32.0,1,13923.53,2321.670000000002,7.513495145631074,78.46,3.82,0.006472491909385114,46.0,38.82847896440129,63.0,0.8570857853396695,74.64,7.171521035598708,,,,,,,,,,,,
pytorch_resnet_cifar10_resnet20_025,2025-11-27T06:35:15.995527,pytorch_resnet_cifar10,resnet20,default,0,200,0.1,,1334,50657.15,250174.64,229.72877869605145,249.75,76.08,54.455463728191,82.0,79.04315886134069,90.94,0.16839028215734778,173.67000000000002,2.956841138659314,,,,,,3.0113365329208018e-05,,,,,,
examples_mnist_064,2025-11-28T15:37:24.902768,examples,mnist,default,0,10,0.01,123.0,1,5745.92,15806.969999999998,93.53236686390531,95.44,74.97,8.21301775147929,65.0,63.562130177514796,99.0,0.2665962662083832,20.47,1.4378698224852045,,,,,,,,,,,,
Person_reID_baseline_pytorch_hrnet18_044,2025-11-27T22:37:25.180279,Person_reID_baseline_pytorch,hrnet18,default,0,66,0.05,,1334,154245.98,1059442.9800000007,241.77156093108186,258.94,14.15,64.39046097672296,84.0,82.37608397991785,,0.12708855817556414,244.79,1.6239160200821487,0.5,0.748033,0.898456,0.961698,,,,,,,,
examples_siamese_082,2025-11-28T17:22:09.484661,examples,siamese,default,0,10,0.01,32.0,9527,14651.02,76794.28000000003,184.60163461538468,188.46,76.33,50.125,78.0,76.8485576923077,100.0,0.1602162166891026,112.13000000000001,1.1514423076923066,,,,,,,,,,,,
Person_reID_baseline_pytorch_hrnet18_049,2025-11-28T04:32:00.257836,Person_reID_baseline_pytorch,hrnet18,default,0,60,0.05,,1334,140878.1,965725.4400000003,241.8546055597296,254.2,12.61,64.2266466316053,84.0,82.20135236664163,,0.127306749804903,241.58999999999997,1.798647633358371,0.5041175754336871,0.67512,0.860451,0.951603,,,,,,,,
examples_siamese_078,2025-11-28T16:57:22.423067,examples,siamese,default,0,10,0.007751883747355406,32.0,1,14557.57,76098.29999999996,183.36939759036136,187.05,76.1,50.12771084337349,77.0,75.65301204819278,98.0,0.1605805558978145,110.95000000000002,1.3469879518072219,,,,,,,,,,,,
Person_reID_baseline_pytorch_pcb_052,2025-11-28T08:08:31.990566,Person_reID_baseline_pytorch,pcb,default,0,59,0.05,,1334,144912.04,875021.9400000005,224.99921316533826,319.19,12.26,96.70429416302392,84.0,77.9614296734379,,0.14207982363721222,306.93,6.038570326562095,0.5,0.777345,0.925772,0.974466,,,,,,,,
Person_reID_baseline_pytorch_pcb_053,2025-11-28T09:17:26.668025,Person_reID_baseline_pytorch,pcb,default,0,60,0.0407555702206187,,1334,147334.61,882211.9199999992,222.7807878787877,319.16,11.21,96.6070707070707,84.0,77.73484848484848,,0.14310631497150508,307.95000000000005,6.265151515151516,0.5,0.779663,0.925178,0.974169,,,,,,,,
examples_mnist_rnn_069,2025-11-28T16:01:02.153787,examples,mnist_rnn,default,0,10,0.01209179539420122,32.0,1,13683.96,2280.9700000000007,7.5031907894736865,78.51,3.63,0.009868421052631578,48.0,40.63157894736842,65.0,0.8571262135192574,74.88000000000001,7.368421052631582,,,,,,,,,,,,
examples_mnist_rnn_072,2025-11-28T16:16:59.113073,examples,mnist_rnn,default,0,10,0.01,121.0,1,8187.65,1902.7499999999986,9.017772511848335,78.04,3.8,0.0,44.0,38.37440758293839,91.0,0.8114296757313884,74.24000000000001,5.625592417061611,,,,,,,,,,,,
MRT-OAST_default_002,2025-11-26T23:32:14.385068,MRT-OAST,default,default,0,12,0.0001,,1334,49752.34,361211.31999999966,238.4233135313529,317.91,76.43,92.92541254125412,84.0,79.53201320132013,,0.12106262631591327,241.48000000000002,4.467986798679874,0.2,,,,,0.0,,,4745.0,0.986171,0.855606,
examples_siamese_079,2025-11-28T17:01:26.524680,examples,siamese,default,0,10,0.01,80.0,1,6222.01,33848.87000000001,194.53373563218398,202.35,76.33,53.92528735632184,78.0,76.13218390804597,99.0,0.15527510251833745,126.02,1.867816091954026,,,,,,,,,,,,
examples_mnist_063,2025-11-28T15:33:26.024170,examples,mnist,default,0,10,0.01,86.0,1,5932.84,16274.700000000003,94.0734104046243,96.19,74.79,9.635838150289016,65.0,64.41618497109826,99.0,0.2671543088518584,21.39999999999999,0.5838150289017392,,,,,,,,,,,,
examples_mnist_rnn_067,2025-11-28T15:50:37.744554,examples,mnist_rnn,default,0,9,0.01,32.0,1,8897.92,2007.4400000000007,10.190050761421324,84.1,4.12,0.0,60.0,50.33502538071066,95.0,0.8159217118921337,79.97999999999999,9.664974619289339,,,,,,,,,,,,
examples_siamese_075,2025-11-28T16:36:21.555157,examples,siamese,default,0,11,0.01,32.0,1,11544.91,55980.76000000001,170.15428571428575,177.82,67.04,49.48024316109422,72.0,66.13981762917933,99.0,0.17097068418573258,110.77999999999999,5.860182370820667,,,,,,,,,,,,
Person_reID_baseline_pytorch_densenet121_040,2025-11-27T18:27:26.898294,Person_reID_baseline_pytorch,densenet121,default,0,60,0.05,,4800,116048.43,712667.6700000005,224.25036815607316,290.29,14.16,84.1746381371932,84.0,78.02611705475141,,0.14003399958079724,276.13,5.97388294524859,0.5,0.742322,0.901128,0.962886,,,,,,,,
examples_mnist_rnn_068,2025-11-28T15:54:43.494571,examples,mnist_rnn,default,0,8,0.01,32.0,1,7893.97,1773.520000000001,10.134400000000005,80.41,3.63,0.011428571428571429,51.0,44.074285714285715,95.0,0.8165480388394505,76.78,6.925714285714285,,,,,,,,,,,,
Person_reID_baseline_pytorch_pcb_055,2025-11-28T11:40:49.620888,Person_reID_baseline_pytorch,pcb,default,0,60,0.05,,3637,157030.02,948561.9199999986,222.6148603614172,317.42,12.98,96.80122037080497,84.0,79.58976766017366,,0.1420325296510394,304.44,4.410232339826337,0.5,0.775912,0.925178,0.974762,,,,,,,,
examples_siamese_081,2025-11-28T17:13:56.835526,examples,siamese,default,0,10,0.01,32.0,6487,14582.19,76824.18999999997,185.11853012048186,189.42,76.28,50.2144578313253,78.0,76.53253012048192,100.0,0.15953142439291443,113.13999999999999,1.4674698795180774,,,,,,,,,,,,
Person_reID_baseline_pytorch_hrnet18_045,2025-11-27T23:47:21.973265,Person_reID_baseline_pytorch,hrnet18,default,0,60,0.055845495392762394,,1334,141359.44,970343.8500000006,241.3190375528477,256.44,13.47,64.21039542402387,84.0,82.46928624720219,,0.12715572695660543,242.97,1.5307137527978085,0.5,0.73844,0.898159,0.966746,,,,,,,,
Person_reID_baseline_pytorch_pcb_058,2025-11-28T15:14:40.471745,Person_reID_baseline_pytorch,pcb,default,0,60,0.05,,1334,149654.91,856480.5900000021,213.26707918326744,318.53,12.85,96.62076693227091,84.0,77.85458167330677,,0.14874230160848087,305.67999999999995,6.145418326693232,0.43648293816488937,0.777592,0.928147,0.970012,,,,,,,,
examples_mnist_065,2025-11-28T15:41:47.859369,examples,mnist,default,0,10,0.01,32.0,118,6886.23,18144.100000000002,94.01088082901556,95.97,74.24,11.637305699481866,64.0,63.424870466321245,99.0,0.275115429960372,21.730000000000004,0.575129533678755,,,,,,,,,,,,
examples_mnist_061,2025-11-28T15:25:02.526119,examples,mnist,default,0,10,0.018374558818943208,32.0,1,6804.84,18211.830000000005,95.8517368421053,97.8,75.77,12.08421052631579,66.0,65.6,98.0,0.2720122222502035,22.03,0.4000000000000057,,,,,,,,,,,,
MRT-OAST_default_009,2025-11-27T02:11:44.734547,MRT-OAST,default,default,0,10,0.0001,,1334,41983.95,302104.9100000001,237.87788188976384,317.66,76.14,92.88031496062992,84.0,79.20472440944881,,0.12201484814126207,241.52000000000004,4.795275590551185,0.2,,,,,0.0004471895224744538,,,4611.0,0.979493,0.750931,
